age,income,visa_type,language_score,job_experience,country_risk,prior_rejection,funds_available,ties_to_home,rejected
56,77932.0,Work,8.4,7,1,0,27832.0,0.62,0
46,490241.0,Student,7.2,22,1,0,40114.0,0.52,0
32,8023.0,Student,7.1,14,1,0,17041.0,0.67,0
25,271850.0,Work,5.9,15,2,0,92847.0,0.37,0
38,9180.0,Student,4.1,4,3,0,268073.0,0.97,1
56,182680.0,Tourist,8.5,10,2,0,28121.0,0.99,0
36,9712.0,Work,8.9,24,1,0,49755.0,0.35,0
40,69459.0,Student,8.0,16,2,1,25168.0,0.33,1
28,28838.0,Student,8.6,12,1,0,9248.0,0.64,0
28,1513.0,Student,4.6,19,3,0,24038.0,0.4,1
41,389776.0,Student,4.6,24,2,0,58149.0,0.4,0
53,5749.0,Tourist,8.4,15,2,0,76784.0,0.56,0
57,3280.0,Tourist,4.3,17,1,0,84556.0,0.97,0
41,8441.0,Tourist,4.5,12,2,1,9108.0,0.96,1
20,981533.0,Work,8.1,2,3,1,8930.0,0.95,1
39,3359.0,Work,6.8,2,1,0,44129.0,0.42,0
19,28778.0,Tourist,6.0,5,3,0,45069.0,0.36,0
41,4086.0,Tourist,6.8,14,3,0,17591.0,0.38,1
47,5284.0,Tourist,8.4,18,1,1,2821.0,0.71,1
55,2000.0,Tourist,7.8,2,3,0,34476.0,0.54,0
19,35339.0,Work,7.5,20,2,0,108055.0,0.91,0
38,17295.0,Student,8.9,2,1,0,77486.0,0.76,0
50,4036.0,Work,6.6,20,2,0,137638.0,1.0,0
29,81618.0,Work,4.0,2,2,1,100820.0,0.94,0
39,95615.0,Work,6.1,17,3,0,12211.0,0.7,0
42,40572.0,Tourist,4.5,7,1,1,69044.0,0.88,0
44,127517.0,Tourist,4.6,15,3,0,64181.0,0.41,0
59,13049.0,Work,5.3,2,3,0,148390.0,0.9,1
45,35723.0,Student,5.9,21,2,0,251328.0,0.8,0
33,13125.0,Student,6.4,10,3,0,10031.0,0.57,0
32,2296.0,Student,4.8,15,3,0,14178.0,0.86,1
20,30603.0,Student,5.6,1,2,0,24118.0,0.76,0
54,27946.0,Work,5.4,0,1,0,67842.0,0.36,0
24,21051.0,Student,5.8,7,3,0,7205.0,0.99,0
38,38592.0,Student,4.5,11,3,0,8611.0,0.49,1
26,183112.0,Work,6.0,18,3,0,2309838.0,0.68,0
56,16210.0,Work,6.8,17,1,0,20685.0,0.91,0
35,5241.0,Student,4.5,17,3,0,27977.0,0.5,1
21,15190.0,Tourist,6.6,20,3,0,130920.0,0.46,0
42,17939.0,Student,7.8,21,2,0,9606.0,0.69,0
31,96315.0,Student,4.0,10,3,0,6433.0,0.55,0
26,25848.0,Work,4.2,17,1,1,93457.0,0.78,0
43,3935.0,Tourist,6.3,5,1,1,94629.0,0.53,1
19,73732.0,Work,8.4,0,1,1,15888.0,0.99,1
37,57971.0,Work,9.0,8,1,0,44911.0,0.5,0
45,25865.0,Tourist,4.5,19,2,0,212569.0,0.75,0
24,91342.0,Work,4.1,15,3,1,32326.0,0.49,1
25,117408.0,Student,5.1,4,1,0,20189.0,0.62,0
52,12504.0,Work,6.3,18,2,0,4509.0,0.5,0
31,5709.0,Tourist,6.9,21,2,0,366018.0,0.59,0
34,21638.0,Work,8.9,16,1,1,10344.0,0.74,0
53,49262.0,Tourist,8.4,22,3,0,91095.0,0.79,0
57,18807.0,Work,6.8,7,3,0,12369.0,0.46,1
21,5001.0,Student,5.8,18,1,0,13682.0,0.93,0
19,28114.0,Work,5.6,17,3,0,113966.0,0.53,0
23,1043.0,Work,6.9,11,1,0,37742.0,0.34,0
59,13539.0,Tourist,7.6,15,2,0,16100.0,0.96,0
21,78964.0,Tourist,6.4,13,2,0,27426.0,0.49,0
46,85661.0,Tourist,5.5,3,1,0,191068.0,1.0,0
35,78.0,Tourist,7.1,7,2,0,39475.0,0.68,0
43,16500.0,Student,6.8,23,3,0,87834.0,0.89,0
51,54118.0,Tourist,6.1,11,3,0,41623.0,0.38,0
27,3774.0,Student,7.7,10,3,0,13854.0,0.69,0
53,12608.0,Student,5.4,12,1,0,146605.0,0.31,1
31,134804.0,Work,6.4,7,1,0,117756.0,0.57,0
48,10655.0,Work,8.7,17,2,0,409570.0,0.33,0
32,242307.0,Tourist,7.6,12,2,0,29473.0,0.62,0
25,7246.0,Work,5.9,3,3,0,97028.0,0.8,0
31,182557.0,Tourist,6.7,0,2,0,47782.0,0.91,0
40,23164.0,Student,6.0,22,1,0,34586.0,0.77,0
57,5899.0,Tourist,4.6,9,1,0,197480.0,0.81,0
38,183473.0,Work,5.7,5,3,1,83501.0,0.45,1
33,3606.0,Work,8.3,10,1,0,40579.0,0.51,0
35,6674.0,Student,6.3,6,3,0,49747.0,0.96,0
41,45930.0,Work,6.9,9,1,0,8250.0,0.41,0
43,24865.0,Work,4.9,11,2,0,58981.0,0.99,0
42,33221.0,Work,5.8,20,1,0,79851.0,0.89,0
58,12677.0,Work,8.6,21,2,0,23473.0,0.86,0
46,3644.0,Student,5.6,5,3,0,140579.0,0.87,0
32,8280.0,Student,5.3,5,3,0,37378.0,0.56,1
18,159628.0,Student,4.3,24,3,0,36510.0,0.85,0
42,2965.0,Tourist,4.5,3,3,0,23633.0,0.55,0
24,259549.0,Work,6.9,1,3,1,9240.0,0.56,1
26,35376.0,Tourist,7.3,24,1,0,11479.0,0.86,0
41,8998.0,Work,7.2,6,3,0,43042.0,0.57,0
18,1093.0,Tourist,6.7,20,2,0,43537.0,0.87,0
25,1331.0,Student,6.5,21,1,1,29845.0,0.31,1
41,12915.0,Student,4.4,6,1,0,109325.0,0.42,1
28,10769.0,Work,8.2,20,1,0,33345.0,0.95,0
34,26282.0,Work,6.6,20,2,0,45234.0,0.74,0
25,290313.0,Work,4.7,21,2,0,92000.0,0.63,0
52,49335.0,Student,4.7,23,1,1,52411.0,0.71,1
52,18160.0,Student,6.6,1,2,1,9383.0,0.58,0
50,136662.0,Work,5.2,9,2,1,336014.0,0.39,1
22,27611.0,Work,8.6,24,1,0,11571.0,0.92,0
59,242696.0,Work,6.5,13,3,0,23356.0,0.83,1
56,8037.0,Work,8.9,4,1,0,212436.0,0.79,0
58,3938.0,Work,7.7,19,2,0,32278.0,0.89,0
45,1096.0,Student,8.1,7,2,0,9482.0,0.82,0
24,18805.0,Work,5.9,19,2,0,30923.0,0.66,0
26,3457.0,Work,4.7,17,1,0,53395.0,0.4,0
25,3384.0,Student,7.4,20,2,0,14446.0,0.38,0
29,103931.0,Student,6.0,4,1,0,121287.0,0.32,0
51,1664.0,Student,8.7,3,2,0,1174746.0,0.64,0
50,25728.0,Tourist,5.0,18,1,1,55299.0,0.41,1
40,19441.0,Work,7.1,10,1,0,174319.0,0.49,0
41,25291.0,Work,8.3,4,1,0,105506.0,0.91,0
54,175633.0,Work,6.0,15,2,0,4165.0,0.73,0
52,6383.0,Tourist,8.8,8,2,1,10864.0,0.99,1
57,175856.0,Work,4.4,24,3,0,64208.0,0.96,1
39,1571.0,Student,6.9,24,1,0,25980.0,0.61,0
44,58461.0,Work,7.9,5,2,0,9492.0,0.76,0
52,201705.0,Work,5.0,7,2,1,82293.0,0.96,0
18,50.0,Work,4.3,0,3,0,158482.0,0.85,1
52,20888.0,Student,4.4,0,2,0,28509.0,0.76,0
54,18488.0,Tourist,5.6,22,1,0,9063.0,0.71,0
31,24533.0,Tourist,5.1,4,2,0,14739.0,0.68,0
20,287029.0,Tourist,5.1,17,1,0,8668.0,0.4,0
18,7006.0,Student,6.3,3,1,0,29110.0,0.37,0
22,3727.0,Student,4.4,15,1,0,52051.0,0.47,1
43,24802.0,Work,9.0,19,2,0,53925.0,0.7,0
31,118951.0,Tourist,7.5,21,1,0,2217.0,0.95,0
56,50917.0,Work,4.2,23,3,0,2718.0,0.58,1
44,23190.0,Tourist,7.5,18,3,0,18726.0,0.9,0
26,15618.0,Tourist,8.0,6,2,0,412525.0,0.32,0
32,1085.0,Work,5.0,14,3,0,26571.0,0.82,0
32,53040.0,Student,8.2,17,1,0,173645.0,0.36,0
43,63450.0,Student,7.1,8,1,0,345143.0,0.93,0
59,7797.0,Student,8.1,6,3,0,17715.0,0.64,1
30,10970.0,Student,7.6,0,3,0,4247.0,0.66,0
49,4572.0,Student,7.5,12,3,1,86742.0,0.94,1
56,80998.0,Work,4.8,3,1,0,57508.0,0.61,0
49,12723.0,Student,5.6,1,1,0,41053.0,0.93,0
21,17607.0,Work,6.6,9,2,0,31848.0,0.78,0
47,56607.0,Tourist,4.6,4,1,1,79476.0,0.5,0
54,35971.0,Student,6.4,24,3,1,94717.0,0.34,1
40,51273.0,Student,6.2,2,1,0,653579.0,0.93,0
56,28631.0,Student,5.2,4,1,0,7007.0,0.53,0
32,29604.0,Student,5.0,10,1,0,246250.0,0.32,0
46,29186.0,Work,5.2,17,2,1,894.0,0.93,0
53,43450.0,Work,7.0,19,3,0,30558.0,0.67,0
30,46736.0,Work,6.1,1,2,1,652909.0,0.79,1
49,3508.0,Student,6.1,23,3,0,379521.0,0.97,0
24,8993.0,Work,4.9,22,3,0,81937.0,0.44,1
39,16236.0,Work,7.9,15,3,0,111724.0,0.74,0
45,43379.0,Student,7.5,22,1,0,11022.0,0.42,0
19,241865.0,Student,6.1,22,2,0,30555.0,0.48,0
59,6504.0,Tourist,4.7,24,2,0,93845.0,0.68,0
23,82288.0,Student,7.6,17,1,0,30145.0,0.46,0
45,9382.0,Tourist,8.5,5,3,0,94853.0,0.63,0
45,172090.0,Student,4.9,14,1,1,63752.0,0.31,1
37,387905.0,Student,7.0,11,2,0,293149.0,0.75,0
47,1600.0,Work,6.1,3,3,0,99024.0,0.84,0
28,13501.0,Tourist,4.4,11,1,0,125995.0,0.46,0
45,648.0,Tourist,7.6,10,3,0,32728.0,0.32,1
42,1746.0,Student,4.4,21,3,0,43504.0,0.35,1
56,1917.0,Tourist,7.5,8,2,0,34051.0,0.74,0
50,56168.0,Work,5.4,0,2,1,217354.0,1.0,1
18,42424.0,Student,6.8,17,3,1,19167.0,0.78,1
44,73267.0,Student,4.8,5,3,0,37346.0,0.31,1
30,54824.0,Work,5.9,11,2,0,2170.0,0.96,0
58,45597.0,Work,4.5,22,3,0,25758.0,0.9,1
20,26050.0,Student,6.3,2,1,1,6306.0,0.67,0
56,18100.0,Tourist,5.1,0,1,0,42082.0,0.87,0
23,101661.0,Work,4.9,6,1,1,3768.0,0.51,0
25,22436.0,Tourist,4.5,17,2,0,104987.0,0.39,0
44,48425.0,Work,7.8,11,3,0,16618.0,0.41,0
26,668.0,Work,7.2,21,3,1,16645.0,0.47,1
54,3780.0,Student,4.8,19,2,0,58259.0,0.49,1
50,95831.0,Work,6.4,15,1,0,8458.0,0.6,0
59,8082.0,Tourist,7.3,19,3,0,27473.0,0.78,1
41,2716.0,Work,8.4,24,3,1,105714.0,0.39,1
32,57638.0,Student,4.3,6,1,0,19052.0,0.44,0
49,22071.0,Student,5.8,16,3,0,76180.0,0.38,0
49,11963.0,Tourist,7.1,3,2,1,47064.0,0.64,1
41,211857.0,Student,4.1,9,1,0,284095.0,0.8,0
58,163759.0,Tourist,5.2,5,3,0,127545.0,0.61,1
29,16618.0,Work,7.7,1,1,0,348435.0,0.82,0
56,65092.0,Work,5.8,3,1,0,14047.0,0.7,0
19,767.0,Work,4.4,17,3,0,53659.0,0.52,0
20,113555.0,Student,7.1,0,1,0,73389.0,0.68,0
54,4316.0,Work,5.3,0,2,0,10549.0,0.88,0
34,2494.0,Student,7.5,15,3,0,25918.0,0.42,1
19,1513.0,Work,8.5,24,3,0,627371.0,0.69,0
19,1348.0,Student,6.6,12,1,0,87257.0,0.77,0
